epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.7273892164230347,0.4639175257731959,0.4639175257731959,0.4639175257731959,0.8408374190330505,0.4523809523809524,0.45238095238095233,0.4445083381253594
2,0.6908758878707886,0.5515463917525774,0.5515463917525774,0.5058410188844972,0.7147513628005981,0.5,0.5,0.3333333333333333
3,0.6959390044212341,0.5154639175257731,0.5154639175257731,0.49395049395049395,0.684739351272583,0.5714285714285714,0.5714285714285714,0.5178571428571429
4,0.6371148824691772,0.6597938144329897,0.6597938144329897,0.6553617571059431,0.6978543996810913,0.5952380952380952,0.5952380952380952,0.5757575757575757
5,0.5822452902793884,0.711340206185567,0.7113402061855669,0.7093632958801498,0.5175377726554871,0.6904761904761905,0.6904761904761905,0.6860264519838988
6,0.5540106296539307,0.7474226804123711,0.7474226804123711,0.7472547924809232,0.38353538513183594,0.8095238095238095,0.8095238095238095,0.8055555555555556
7,0.45466482639312744,0.8298969072164949,0.8298969072164948,0.829530022633471,0.41439756751060486,0.7619047619047619,0.7619047619047619,0.7619047619047619
8,0.5422500371932983,0.7628865979381443,0.7628865979381443,0.7622549019607843,0.45110172033309937,0.8095238095238095,0.8095238095238095,0.8055555555555556
9,0.3890124559402466,0.8402061855670103,0.8402061855670103,0.840201939683805,0.43801677227020264,0.7380952380952381,0.7380952380952381,0.7306122448979592
10,0.31709086894989014,0.8865979381443299,0.8865979381443299,0.8865497076023392,0.34757012128829956,0.8095238095238095,0.8095238095238095,0.8090909090909091
11,0.2653604745864868,0.8917525773195877,0.8917525773195876,0.8917266856246844,0.5198061466217041,0.7619047619047619,0.7619047619047619,0.7597254004576659
12,0.3722991943359375,0.8402061855670103,0.8402061855670103,0.840201939683805,0.40183505415916443,0.8571428571428571,0.8571428571428572,0.8568181818181818
13,0.23046836256980896,0.9072164948453608,0.9072164948453608,0.9072066326530612,0.33643898367881775,0.8571428571428571,0.8571428571428571,0.8558352402745995
14,0.41079404950141907,0.865979381443299,0.865979381443299,0.8659651360544218,0.40219253301620483,0.7857142857142857,0.7857142857142857,0.7846153846153847
15,0.3158215582370758,0.9020618556701031,0.9020618556701031,0.9019341793705271,0.5072259902954102,0.7857142857142857,0.7857142857142857,0.7855927396483267
16,0.30552366375923157,0.865979381443299,0.865979381443299,0.865979381443299,0.40874260663986206,0.8095238095238095,0.8095238095238095,0.8090909090909091
17,0.31465405225753784,0.9175257731958762,0.9175257731958764,0.9175170068027211,0.4004884958267212,0.8571428571428571,0.8571428571428571,0.8558352402745995
18,0.26866206526756287,0.9175257731958762,0.9175257731958762,0.9174468085106383,0.5256866216659546,0.8095238095238095,0.8095238095238095,0.8090909090909091
19,0.19054491817951202,0.9536082474226805,0.9536082474226804,0.9535971509820076,0.6061941981315613,0.7619047619047619,0.7619047619047619,0.7613636363636364
20,0.33154651522636414,0.8762886597938144,0.8762886597938144,0.8762360446570974,1.1449730396270752,0.6428571428571429,0.6428571428571428,0.6326530612244898
21,0.20328399538993835,0.9175257731958762,0.9175257731958764,0.9174906964380649,0.6122331619262695,0.7380952380952381,0.7380952380952381,0.7367521367521368
22,0.221643328666687,0.9536082474226805,0.9536082474226804,0.9536070147469111,0.6580953001976013,0.7857142857142857,0.7857142857142857,0.7826336975273145
