epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.6114374399185181,0.6735395189003437,0.6735395189003437,0.6714873086795323,0.6930243372917175,0.6428571428571429,0.6428571428571428,0.6050156739811913
2,0.5164005756378174,0.7663230240549829,0.7663230240549828,0.7661877304093014,0.5511865615844727,0.7857142857142857,0.7857142857142857,0.7855927396483267
3,0.45867791771888733,0.7972508591065293,0.7972508591065293,0.7969607379375592,0.4637854993343353,0.8095238095238095,0.8095238095238095,0.8095238095238095
4,0.42783650755882263,0.8247422680412371,0.8247422680412371,0.8247091478178704,0.5333191156387329,0.7619047619047619,0.7619047619047619,0.7597254004576659
5,0.44257840514183044,0.7920962199312714,0.7920962199312716,0.7920906957176387,0.4287799298763275,0.8095238095238095,0.8095238095238095,0.8090909090909091
6,0.4249816834926605,0.8264604810996563,0.8264604810996563,0.8263738535836127,0.5820584893226624,0.6666666666666666,0.6666666666666667,0.6659090909090909
7,0.4351232349872589,0.8213058419243986,0.8213058419243986,0.8207639917086171,0.6505985856056213,0.6904761904761905,0.6904761904761905,0.6888888888888889
8,0.43815258145332336,0.7955326460481099,0.79553264604811,0.7954837395132928,0.8963985443115234,0.5714285714285714,0.5714285714285714,0.5675057208237986
9,0.48507577180862427,0.7749140893470791,0.7749140893470791,0.7745620130398143,0.6356117725372314,0.5714285714285714,0.5714285714285714,0.5704545454545455
10,0.46506357192993164,0.781786941580756,0.781786941580756,0.781166083910908,0.5269975662231445,0.7857142857142857,0.7857142857142857,0.7846153846153847
11,0.38401558995246887,0.8350515463917526,0.8350515463917525,0.833825069001618,0.49417543411254883,0.7619047619047619,0.7619047619047619,0.7597254004576659
12,0.5311033725738525,0.7422680412371134,0.7422680412371134,0.7412781393363918,0.708818793296814,0.7380952380952381,0.7380952380952381,0.7379466817923993
13,0.5462669730186462,0.7422680412371134,0.7422680412371134,0.7422649976381672,0.6142895221710205,0.7619047619047619,0.7619047619047619,0.7613636363636364
