split,accuracy,balanced_accuracy,macro_f1,loss
val,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.3643076717853546
test,0.8571428571428571,0.8571428571428572,0.8568181818181818,0.42706918716430664
