split,accuracy,balanced_accuracy,macro_f1,loss
val,0.9047619047619048,0.9047619047619047,0.9045454545454545,0.28019317984580994
test,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.24743065237998962
