epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.6170474886894226,0.6890034364261168,0.6890034364261168,0.6869619482043892,0.4861752688884735,0.7380952380952381,0.7380952380952381,0.7306122448979592
2,0.43397554755210876,0.8075601374570447,0.8075601374570447,0.8074487191606012,0.45504826307296753,0.8095238095238095,0.8095238095238095,0.8090909090909091
3,0.315118670463562,0.8745704467353952,0.8745704467353952,0.8745671139453524,0.2727254033088684,0.8809523809523809,0.8809523809523809,0.8808848553601816
4,0.2908821702003479,0.8780068728522337,0.8780068728522337,0.8780036313715069,0.33698368072509766,0.8809523809523809,0.8809523809523809,0.8803418803418803
5,0.2842971682548523,0.8745704467353952,0.8745704467353952,0.8745700764341364,0.4774555563926697,0.7857142857142857,0.7857142857142857,0.7855927396483267
6,0.24130669236183167,0.9089347079037801,0.9089347079037801,0.9089215324426072,0.4879150390625,0.8095238095238095,0.8095238095238095,0.8055555555555556
7,0.27316954731941223,0.9054982817869416,0.9054982817869416,0.905495770780745,0.4535069167613983,0.7857142857142857,0.7857142857142857,0.7846153846153847
8,0.23636972904205322,0.8986254295532646,0.8986254295532646,0.8986227359284354,0.3764352798461914,0.8571428571428571,0.8571428571428571,0.8558352402745995
9,0.13161417841911316,0.9501718213058419,0.9501718213058419,0.9501646120912379,0.5923935174942017,0.8333333333333334,0.8333333333333333,0.8332387975042541
10,0.15901091694831848,0.9570446735395189,0.9570446735395188,0.9570232310850526,0.4733254313468933,0.8571428571428571,0.8571428571428572,0.8568181818181818
11,0.2131699025630951,0.9089347079037801,0.9089347079037801,0.9089021656630332,0.38932371139526367,0.8333333333333334,0.8333333333333333,0.8332387975042541
12,0.15155097842216492,0.9450171821305842,0.9450171821305842,0.9450171821305842,0.28019317984580994,0.9047619047619048,0.9047619047619047,0.9045454545454545
13,0.1481168419122696,0.9467353951890034,0.9467353951890034,0.9467163610481892,0.4884151816368103,0.8571428571428571,0.8571428571428571,0.8571428571428571
14,0.15267597138881683,0.9467353951890034,0.9467353951890034,0.9467314636299486,0.41330763697624207,0.8333333333333334,0.8333333333333333,0.8324786324786324
15,0.15214507281780243,0.9398625429553265,0.9398625429553265,0.9398623654136271,0.4660247266292572,0.8809523809523809,0.8809523809523809,0.8808848553601816
16,0.2076188325881958,0.9450171821305842,0.9450171821305842,0.9450145848341345,0.27397745847702026,0.8809523809523809,0.8809523809523809,0.8808848553601816
17,0.12791311740875244,0.9518900343642611,0.9518900343642611,0.951875826875827,0.3373165726661682,0.8333333333333334,0.8333333333333333,0.8309373202990225
18,0.07693399488925934,0.9742268041237113,0.9742268041237113,0.9742249017564268,0.586367130279541,0.8333333333333334,0.8333333333333333,0.8332387975042541
19,0.07582275569438934,0.9776632302405498,0.9776632302405498,0.9776631642964901,0.46151185035705566,0.8333333333333334,0.8333333333333333,0.8309373202990225
20,0.12676958739757538,0.9707903780068728,0.9707903780068728,0.970788221990617,0.6192300915718079,0.8095238095238095,0.8095238095238095,0.8090909090909091
21,0.18219774961471558,0.9347079037800687,0.9347079037800687,0.9346955648733243,0.5755615830421448,0.8571428571428571,0.8571428571428572,0.8568181818181818
22,0.11338948458433151,0.9604810996563574,0.9604810996563573,0.9604781826931877,0.5922372341156006,0.8809523809523809,0.8809523809523809,0.8808848553601816
