epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.6211448311805725,0.6408934707903781,0.640893470790378,0.6408075761199847,0.5927762389183044,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,0.4982128441333771,0.7938144329896907,0.7938144329896908,0.793775468021024,0.4188854694366455,0.7857142857142857,0.7857142857142857,0.7855927396483267
3,0.40916678309440613,0.8178694158075601,0.8178694158075601,0.8177639663484262,0.37401604652404785,0.8333333333333334,0.8333333333333333,0.8324786324786324
4,0.29640573263168335,0.8917525773195877,0.8917525773195876,0.891749701076126,0.5741379261016846,0.6428571428571429,0.6428571428571428,0.616555082166768
5,0.30398616194725037,0.872852233676976,0.872852233676976,0.8728387188208617,0.7041252851486206,0.7142857142857143,0.7142857142857142,0.7083333333333333
6,0.29836538434028625,0.8814432989690721,0.8814432989690721,0.8814401487976617,0.7567334175109863,0.7142857142857143,0.7142857142857143,0.703529411764706
7,0.26900622248649597,0.9003436426116839,0.9003436426116839,0.9003389350118687,0.416453093290329,0.7380952380952381,0.7380952380952381,0.7367521367521368
8,0.17642365396022797,0.936426116838488,0.936426116838488,0.9364244276161375,0.5488720536231995,0.8095238095238095,0.8095238095238095,0.8055555555555556
9,0.21767601370811462,0.915807560137457,0.9158075601374571,0.9157953790507123,0.5357624888420105,0.8095238095238095,0.8095238095238095,0.8095238095238095
10,0.13726706802845,0.9450171821305842,0.9450171821305842,0.9450165328294757,0.47456952929496765,0.7380952380952381,0.7380952380952381,0.7379466817923993
11,0.20041203498840332,0.9398625429553265,0.9398625429553265,0.9398325235190736,0.4108595848083496,0.8095238095238095,0.8095238095238095,0.8095238095238095
12,0.10215122997760773,0.9639175257731959,0.9639175257731959,0.9639165670253753,0.5959734320640564,0.7619047619047619,0.7619047619047619,0.7619047619047619
13,0.04850401729345322,0.9810996563573883,0.9810996563573884,0.9810982612880463,0.5664264559745789,0.7857142857142857,0.7857142857142857,0.7855927396483267
