split,accuracy,balanced_accuracy,macro_f1,loss
val,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.2170533835887909
test,0.9047619047619048,0.9047619047619047,0.9045454545454545,0.27597862482070923
