epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.74873286485672,0.5051546391752577,0.5051546391752577,0.5038363171355499,0.7323792576789856,0.47619047619047616,0.47619047619047616,0.4564705882352942
2,0.6623414754867554,0.5670103092783505,0.5670103092783505,0.5577987626180397,0.7123576998710632,0.6428571428571429,0.6428571428571428,0.641025641025641
3,0.6800158023834229,0.6082474226804123,0.6082474226804124,0.6082057823129252,0.6611486077308655,0.6904761904761905,0.6904761904761905,0.6755793226381461
4,0.6132288575172424,0.7268041237113402,0.7268041237113402,0.7259229641476743,0.6024473905563354,0.6904761904761905,0.6904761904761905,0.6755793226381461
5,0.45361682772636414,0.7938144329896907,0.7938144329896907,0.7936170212765958,0.46624764800071716,0.8333333333333334,0.8333333333333333,0.8324786324786324
6,0.5077774524688721,0.7835051546391752,0.7835051546391752,0.7801403130059363,0.4647332727909088,0.7619047619047619,0.7619047619047619,0.7529411764705882
7,0.5191373229026794,0.7680412371134021,0.768041237113402,0.7672930827668932,0.529976487159729,0.7619047619047619,0.7619047619047619,0.7613636363636364
8,0.4882623851299286,0.7371134020618557,0.7371134020618557,0.7370505222313763,0.47348153591156006,0.8333333333333334,0.8333333333333333,0.8332387975042541
9,0.4826812446117401,0.7989690721649485,0.7989690721649485,0.7987069997605556,0.6000398397445679,0.7380952380952381,0.7380952380952381,0.7379466817923993
10,0.5481104254722595,0.7731958762886598,0.7731958762886597,0.7730994152046784,0.5892429947853088,0.7380952380952381,0.7380952380952381,0.7379466817923993
11,0.5287899374961853,0.711340206185567,0.7113402061855669,0.7105711849957375,0.6945204734802246,0.6428571428571429,0.6428571428571428,0.6326530612244898
12,0.5823002457618713,0.7164948453608248,0.7164948453608248,0.7124531759506292,0.6309968829154968,0.6428571428571429,0.6428571428571428,0.6377228292121909
13,0.5952486395835876,0.7061855670103093,0.7061855670103092,0.7059902688043391,0.5976503491401672,0.6904761904761905,0.6904761904761905,0.6888888888888889
14,0.6108876466751099,0.7061855670103093,0.7061855670103092,0.7033400402414487,0.5940306186676025,0.6666666666666666,0.6666666666666667,0.6597222222222223
15,0.523683488368988,0.7268041237113402,0.7268041237113403,0.7262148848355745,0.5712319016456604,0.7142857142857143,0.7142857142857143,0.7142857142857143
