split,accuracy,balanced_accuracy,macro_f1,loss
val,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.2738226999839147
test,0.8095238095238095,0.8095238095238095,0.8077803203661327,0.4634945789972941
