epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.7177371382713318,0.5154639175257731,0.5154639175257731,0.48659909909909904,0.6777924299240112,0.6666666666666666,0.6666666666666666,0.6636155606407322
2,0.5687089562416077,0.7061855670103093,0.7061855670103092,0.70038204134717,0.5599864721298218,0.6904761904761905,0.6904761904761905,0.6888888888888889
3,0.3714640140533447,0.8298969072164949,0.8298969072164948,0.8288738606292267,0.7567407488822937,0.7857142857142857,0.7857142857142857,0.7855927396483267
4,0.40787941217422485,0.8402061855670103,0.8402061855670102,0.8401679644935818,1.097596287727356,0.7857142857142857,0.7857142857142857,0.7826336975273145
5,0.4759255349636078,0.8041237113402062,0.8041237113402062,0.8041028911564626,0.43303030729293823,0.8095238095238095,0.8095238095238095,0.8077803203661327
6,0.36278125643730164,0.8556701030927835,0.8556701030927835,0.855531914893617,0.5671933889389038,0.8333333333333334,0.8333333333333333,0.8324786324786324
7,0.2539541721343994,0.9278350515463918,0.9278350515463918,0.9276427962489344,0.4228363037109375,0.7857142857142857,0.7857142857142857,0.7826336975273145
8,0.3532852530479431,0.9226804123711341,0.9226804123711341,0.922661918303346,0.4646482467651367,0.8571428571428571,0.8571428571428572,0.8568181818181818
9,0.5082844495773315,0.8144329896907216,0.8144329896907216,0.8143540669856459,0.43612489104270935,0.7857142857142857,0.7857142857142857,0.7795918367346939
10,0.35108640789985657,0.8814432989690721,0.8814432989690721,0.8812887434485327,0.26672014594078064,0.8809523809523809,0.8809523809523809,0.8808848553601816
11,0.2344350963830948,0.9226804123711341,0.9226804123711341,0.9225136466515778,0.2170821875333786,0.9523809523809523,0.9523809523809523,0.9523809523809523
12,0.17665883898735046,0.9484536082474226,0.9484536082474226,0.9484316852737905,0.4349765181541443,0.8809523809523809,0.8809523809523809,0.8808848553601816
13,0.33163490891456604,0.9072164948453608,0.9072164948453608,0.907177033492823,0.23799437284469604,0.9523809523809523,0.9523809523809523,0.9522727272727273
14,0.2842887043952942,0.9175257731958762,0.9175257731958764,0.9174906964380649,0.6507007479667664,0.7857142857142857,0.7857142857142857,0.7846153846153847
15,0.28014811873435974,0.9123711340206185,0.9123711340206185,0.9122568973315242,0.5006285905838013,0.9047619047619048,0.9047619047619047,0.9045454545454545
16,0.20107018947601318,0.9175257731958762,0.9175257731958762,0.9174468085106383,0.22074520587921143,0.9047619047619048,0.9047619047619047,0.9045454545454545
17,0.17952047288417816,0.9329896907216495,0.9329896907216495,0.9329879101899827,0.294018030166626,0.8809523809523809,0.8809523809523809,0.8808848553601816
18,0.10792074352502823,0.9639175257731959,0.9639175257731958,0.9639088952082282,0.3060707151889801,0.8333333333333334,0.8333333333333333,0.8309373202990225
19,0.1330370157957077,0.9536082474226805,0.9536082474226804,0.9536070147469111,0.4468424320220947,0.8095238095238095,0.8095238095238095,0.8055555555555556
20,0.30463001132011414,0.9484536082474226,0.9484536082474226,0.9484316852737905,0.3975999057292938,0.8809523809523809,0.8809523809523809,0.8808848553601816
21,0.3184841275215149,0.9381443298969072,0.9381443298969072,0.9381180223285487,0.2761572301387787,0.9523809523809523,0.9523809523809523,0.9523809523809523
